                     File Name  File?   Dir?    File Size
                     file1.txt      Y      N         1000
                     file2.txt      Y      N         1000
                     file3.txt      Y      N         1000
                     file4.txt      Y      N         1000
                     file5.txt      Y      N         1000
                      subdir_1      N      Y         4096
                      subdir_2      N      Y         4096
                      subdir_3      N      Y         4096
                      subdir_4      N      Y         4096
                      subdir_5      N      Y         4096
